DataType=Vec3
version=3
OpenSimVersion=4.5.2-2025-05-03-6a4c6ec41
endheader
time	/markerset/handm	/markerset/elbow
0	0.03094839775525332,-0.004265911216786991,-0.02254119465705251	0.01811201369332352,-0.004072633993219315,-0.01532878881826856
0.00326666666666666	0.03570494894066987,0.007001491883174562,-0.01233500052415734	0.02355937900678852,-0.001210729325620448,-0.01077976773224064
0.00653333333333332	0.03562874656959907,0.007249290774097163,-0.01230129890675013	0.02361087693480955,-0.001152637588894025,-0.01074293627279262
0.009799999999999979	0.03555865177951398,0.007452746884940098,-0.01225058329185124	0.02364960130823109,-0.001111390479685772,-0.01072026037028494
0.01306666666666664	0.03550626078511002,0.007628580739851826,-0.01219464283566461	0.02369047006453338,-0.001073222361887945,-0.01070592657658367
0.0163333333333333	0.03546822796476885,0.007777576471450673,-0.01213473045090237	0.02373026634993186,-0.001038546169607886,-0.01069667597319931
0.01959999999999996	0.0354424590568282,0.007901887296871697,-0.01207506678263266	0.02376801011248258,-0.001007137009330861,-0.01069083933147655
0.02286666666666662	0.03542651486498237,0.008003623870819449,-0.0120183641801522	0.02380247902677675,-0.0009789253820089803,-0.01068670824743787
0.02613333333333328	0.03541857104735231,0.008085373606582427,-0.01196615025126424	0.0238332445780179,-0.0009535916222169448,-0.01068312158555837
0.02939999999999994	0.03541699283128523,0.00814984641749693,-0.01191949967394003	0.0238601636585543,-0.0009306894891366081,-0.01067907581221766
0.0326666666666666	0.03542055264866867,0.00819977390147131,-0.01187906668096577	0.02388352783668489,-0.0009097189741676427,-0.01067403297587032
0.03593333333333326	0.03542815047947196,0.008237765852923989,-0.01184540209604715	0.02390375639252112,-0.0008902073154100423,-0.01066768201986124
0.03919999999999992	0.03543875794832396,0.008265973196101683,-0.01181846414365563	0.02392116706356137,-0.0008719245645981526,-0.01065999674107122
0.04246666666666658	0.03545130052226519,0.008286210652017751,-0.01179782778602315	0.02393592086460103,-0.0008548230618075602,-0.01065106164648376
0.04573333333333324	0.03546480403787115,0.008299838757894131,-0.0117825342997686	0.02394805057047377,-0.0008390421485267741,-0.01064110590448219
0.0489999999999999	0.03547834815193364,0.008308028856611058,-0.01177146307185568	0.02395754613723302,-0.0008247758263389728,-0.01063039433597927
0.05226666666666656	0.03549126117995257,0.008311761513339101,-0.01176352635304615	0.0239644891521966,-0.0008121861719889156,-0.01061925531768314
0.05553333333333321	0.03550301927512785,0.008311987385891001,-0.01175778815264495	0.02396905326276901,-0.0008013671446983305,-0.01060802558515122
0.05879999999999988	0.03551333359301469,0.008309582981419789,-0.0117536113225991	0.02397153646481242,-0.0007923010614215246,-0.01059702301819482
0.06206666666666654	0.03552202431227239,0.008305402178004014,-0.01175052067470639	0.0239722948368357,-0.0007849072154090166,-0.01058654168284608
0.0653333333333332	0.03552905383384685,0.008300205653106527,-0.01174824625039151	0.02397171862313407,-0.0007790260360960519,-0.0105767980925672
0.06859999999999987	0.03553443612343671,0.008294699966449992,-0.01174658586404259	0.0239701942588518,-0.0007744704656589899,-0.01056796397808011
0.07186666666666652	0.03553826291698553,0.008289471399167622,-0.01174543255574847	0.0239680814165756,-0.0007710176327627299,-0.0105601253040928
0.07513333333333318	0.03554065236258219,0.008285042583794915,-0.01174470966032796	0.0239657163541942,-0.0007684360177542711,-0.01055332779302016
0.07839999999999983	0.03554175891315942,0.008281804896435489,-0.01174438957381355	0.02396338134334103,-0.0007664941251845324,-0.01054755308899999
0.0816666666666665	0.03554174664883143,0.008280083445370914,-0.01174445996306903	0.02396132756732415,-0.0007649679170641851,-0.01054275769801392
0.08493333333333317	0.03554078278892848,0.008280071098705065,-0.01174492058543737	0.02395973586993697,-0.0007636636357295223,-0.01053886051984643
0.08819999999999982	0.03553902916573358,0.008281895998461068,-0.01174576752113154	0.02395874968856777,-0.0007624085402609549,-0.01053576840475797
0.09146666666666649	0.0355366329730958,0.008285570081268085,-0.01174698339837422	0.02395844283205542,-0.0007610748124467544,-0.01053337384101503
0.09473333333333316	0.03553373056041116,0.008291052859595426,-0.01174854018118703	0.02395885599779249,-0.000759558815883252,-0.01053156723322484
0.0979999999999998	0.03553044061476585,0.008298218846941699,-0.01175039565670019	0.0239599774459657,-0.0007577999665463221,-0.01053024229000471
