DataType=Vec3
version=3
OpenSimVersion=4.5.2-2025-05-03-6a4c6ec41
endheader
time	/markerset/handm	/markerset/elbow
0	0.03094839689926834,-0.004265911036126899,-0.02254119672104975	0.01811201369332352,-0.004072633993219315,-0.01532878881826856
0.00326666666666666	0.03098188816395281,-0.00431367178732156,-0.02257550649545412	0.01814058776770377,-0.004073075538147579,-0.01537937309063734
0.00653333333333332	0.03101527283990958,-0.004446273541029905,-0.02244804647153067	0.01815902396398104,-0.004070850204116575,-0.01528979859602126
0.009799999999999979	0.03109137544353251,-0.004393761634268591,-0.02230841959774332	0.01820792974292883,-0.004066919126904408,-0.01519400718622829
0.01306666666666664	0.03115073284750748,-0.004303150084297472,-0.02222698305596432	0.01824045047821921,-0.004064619562520699,-0.01515382086948675
0.0163333333333333	0.03114392265363328,-0.004344204201264711,-0.0222174007605939	0.01821099591327847,-0.004066662824410934,-0.01518874782244288
0.01959999999999996	0.03115349899323847,-0.004354072009940948,-0.02217358754825038	0.01817624916084004,-0.004068742342947686,-0.0152271476863721
0.02286666666666662	0.0312580658869971,-0.00417186215868231,-0.02200045263683417	0.01819577150086003,-0.004067444066483794,-0.01520067818856507
0.02613333333333328	0.03136961098771865,-0.003975756147680811,-0.02177290935244482	0.01821890527763431,-0.004064471058636873,-0.01513438896882715
0.02939999999999994	0.03140665317071587,-0.003943451921895144,-0.0215665546731561	0.01818622928907845,-0.004062250697833544,-0.01506256510509985
0.0326666666666666	0.03144402276888893,-0.003895702905411601,-0.02129656995847755	0.01813188436552324,-0.00405904353560655,-0.01497484862103188
0.03593333333333326	0.03155824439084358,-0.003636845954389167,-0.02087372958623364	0.01810110996080995,-0.004052790225022779,-0.0148597113770759
0.03919999999999992	0.03171024733155627,-0.003273797935427212,-0.02033670402563642	0.01808335992661115,-0.004044046364675029,-0.01473117527088592
0.04246666666666658	0.03185759978060786,-0.002944494980399773,-0.01974084326628067	0.01806060876509272,-0.004033891914909507,-0.01460352895583129
0.04573333333333324	0.03200271394547254,-0.00259804742741935,-0.01909019443732375	0.01804410580120974,-0.004022311627767537,-0.01447779584563954
0.0489999999999999	0.03214823452238019,-0.002160549254337575,-0.01838176366119434	0.01805092040009031,-0.004009387831871755,-0.01435550980966044
0.05226666666666656	0.03228265788432468,-0.001657701564389705,-0.01762429702015341	0.01808089750075981,-0.0039963663777761,-0.01424635920283644
0.05553333333333321	0.03239207368224168,-0.001137553360641695,-0.01682787138091308	0.01812623865062264,-0.003984607223550441,-0.01415815248767857
0.05879999999999988	0.03246643102876927,-0.0006316155031507037,-0.01600760630008564	0.01818239439793677,-0.003974185248212799,-0.01408827493104192
0.06206666666666654	0.03250423003527959,-0.0001589825875331899,-0.01518608538828356	0.01824999035225307,-0.003964464394318244,-0.01403099285001339
0.0653333333333332	0.03250845107385437,0.0002883189994146804,-0.01440866077823019	0.018334554014397,-0.0039542109848809,-0.0139793368438662
0.06859999999999987	0.03249645285936918,0.0007158146204044287,-0.0137225502087894	0.01844603300942784,-0.003941355442504417,-0.01392482329413172
0.07186666666666652	0.03250979254571967,0.001085872993458272,-0.01315838606732736	0.01859630589657977,-0.003923278711646515,-0.0138610516406659
0.07513333333333318	0.03258620861979811,0.001378792392327317,-0.01272734577565259	0.01879475416161522,-0.003896736127374258,-0.01378388911314529
0.07839999999999983	0.03271487441260101,0.001681687851275749,-0.01239230511307849	0.01905045092915763,-0.003858355764797337,-0.0136967595886198
0.0816666666666665	0.03287143285124862,0.002056507366942975,-0.01211641115067903	0.01936254742712935,-0.003804893578621675,-0.01360579702743431
0.08493333333333317	0.03306580033083985,0.002362918501359099,-0.01189849264579969	0.01968348710840587,-0.003741222245289385,-0.0135224586177901
0.08819999999999982	0.03331405059896598,0.002484930856573909,-0.01174841407629008	0.019974695047953,-0.003676895349925012,-0.01346082364605011
0.09146666666666649	0.0335959053725061,0.002621761298380395,-0.01168985136345854	0.02029490376455239,-0.003602597596854914,-0.01342543850297464
0.09473333333333316	0.03389167809834201,0.002969053560814565,-0.01173794094205979	0.02070304415540409,-0.003497586600422637,-0.01340405568377761
0.0979999999999998	0.03420313408988386,0.003345356723339164,-0.01187723897677232	0.02111933976015528,-0.00336542358048519,-0.01334879016290773
0.1012666666666665	0.03451955518811596,0.003531354018578991,-0.0120948708381564	0.02143996287526645,-0.003236247896697547,-0.01324273723114126
0.1045333333333331	0.03481530400778275,0.00363488991845864,-0.01237268059576854	0.02171204913875913,-0.003121903305776745,-0.01317581365080922
0.1077999999999998	0.03510897048544479,0.003827997558650009,-0.01268833785848733	0.0220368752766735,-0.003001618041298195,-0.01321226222505218
0.1110666666666665	0.03543497806197464,0.004048621177694103,-0.01303968639538667	0.0224029597813281,-0.002855363727492847,-0.01327131118561083
0.1143333333333331	0.03577363427806161,0.004172965461681499,-0.01343584104239244	0.02273475105083573,-0.002698092611897584,-0.01328069202590397
0.1175999999999998	0.03605993366722535,0.004226179907843143,-0.01385205859375372	0.02299963452403868,-0.002560868747889175,-0.01328232643311313
0.1208666666666664	0.03626727718869714,0.004280072852778551,-0.01425142880647148	0.02320900690246858,-0.002454907038157938,-0.01332184882591639
0.1241333333333331	0.03642697893337225,0.004325816362111523,-0.01461717496681704	0.02338101775769413,-0.002373003315855255,-0.01339547870157068
